name,hometown,tour,rating,day_1_score_Masters26,day_2_score_Masters26,day_3_score_Masters26,day_4_score_Masters26
Ludvig Aberg,, ,5,,,, 
Byeong Hun An,, ,4,,,, 
Akshay Bhatia,, ,3,,,, 
Keegan Bradley,, ,6,,,, 
Sam Burns,, ,7,,,, 
Patrick Cantlay,, ,8,,,, 
Wyndham Clark,, ,6,,,, 
Eric Cole,, ,2,,,, 
Corey Conners,, ,5,,,, 
Fred Couples,, ,9,,,, 
Cameron Davis,, ,3,,,, 
Jason Day,, ,8,,,, 
Santiago de la Fuente,, ,1,,,, 
Bryson DeChambeau,, ,7,,,, 
Nick Dunlap,, ,2,,,, 
Austin Eckroat,, ,4,,,, 
Harris English,, ,6,,,, 
Tony Finau,, ,9,,,, 
Matt Fitzpatrick,, ,8,,,, 
Tommy Fleetwood,, ,7,,,, 
Rickie Fowler,, ,6,,,, 
Ryan Fox,, ,4,,,, 
Sergio Garcia,, ,6,,,, 
Lucas Glover,, ,3,,,, 
Emiliano Grillo,, ,2,,,, 
Adam Hadwin,, ,4,,,, 
Stewart Hagestad,, ,1,,,, 
Brian Harman,, ,7,,,, 
Tyrrell Hatton,, ,7,,,, 
Russell Henley,, ,5,,,, 
Ryo Hisatsune,, ,1,,,, 
Lee Hodges,, ,3,,,, 
Nicolai Hojgaard,, ,4,,,, 
Max Homa,, ,8,,,, 
Viktor Hovland,, ,9,,,, 
Sungjae Im,, ,8,,,, 
Stephan Jaeger,, ,3,,,, 
Dustin Johnson,, ,9,,,, 
Zach Johnson,, ,7,,,, 
Si Woo Kim,, ,6,,,, 
Tom Kim,, ,8,,,, 
Chris Kirk,, ,6,,,, 
Kurt Kitayama,, ,4,,,, 
Jake Knapp,, ,2,,,, 
Brooks Koepka,, ,9,,,, 
Christo Lamprecht,, ,2,,,, 
Min Woo Lee,, ,7,,,, 
Luke List,, ,2,,,, 
Shane Lowry,, ,7,,,, 
Peter Malnati,, ,2,,,, 
Hideki Matsuyama,, ,8,,,, 
Denny McCarthy,, ,4,,,, 
Rory McIlroy,, ,10,,,, 
Adrian Meronk,, ,4,,,, 
Phil Mickelson,, ,7,,,, 
Taylor Moore,, ,2,,,, 
Collin Morikawa,, ,10,,,, 
Grayson Murray,, ,1,,,, 
Joaquin Niemann,, ,7,,,, 
Jose Maria Olazabal,, ,8,,,, 
Thorbjorn Olesen,, ,5,,,, 
Matthieu Pavon,, ,3,,,, 
JT Poston,, ,4,,,, 
Jon Rahm,, ,10,,,, 
Patrick Reed,, ,6,,,, 
Justin Rose,, ,7,,,, 
Xander Schauffele,, ,9,,,, 
Scottie Scheffler,, ,10,,,, 
Adam Schenk,, ,3,,,, 
Charl Schwartzel,, ,5,,,, 
Adam Scott,, ,8,,,, 
Neal Shipley,, ,1,,,, 
Vijay Singh,, ,7,,,, 
Cameron Smith,, ,8,,,, 
Jordan Spieth,, ,8,,,, 
Sepp Straka,, ,4,,,, 
Jasper Stubbs,, ,1,,,, 
Nick Taylor,, ,5,,,, 
Sahith Theegala,, ,7,,,, 
Justin Thomas,, ,9,,,, 
Erik van Rooyen,, ,4,,,, 
Camilo Villegas,, ,3,,,, 
Bubba Watson,, ,7,,,, 
Mike Weir,, ,5,,,, 
Danny Willett,, ,4,,,, 
Gary Woodland,, ,6,,,, 
Tiger Woods,, ,10,,,, 
Cameron Young,, ,8,,,, 
Will Zalatoris,, ,8,,,, 
